DISTRICT_1,Total,Male,Female
ACHHAM,228852,105319,123533
ARGHAKHANCHI,177086,80672,96414
BAGLUNG,249211,116194,133017
BAITADI,242157,113864,128293
BAJHANG,189085,88470,100615
BAJURA,138523,67070,71453
BANKE,603194,296745,306449
BARA,763137,389787,373350
BARDIYA,459900,216766,243134
BHAKTAPUR,432132,218418,213714
BHOJPUR,157923,78211,79712
CHITAWAN,719859,351789,368070
DADELDHURA,139602,65893,73709
DAILEKH,252313,120774,131539
DANG,674993,320573,354420
DARCHULA,133310,64424,68886
DHADING,325710,159048,166662
DHANKUTA,150599,73824,76775
DHANUSHA,867747,429893,437854
DOLAKHA,172767,83720,89047
DOLPA,42774,21371,21403
DOTI,204831,93604,111227
GORKHA,251027,118155,132872
GULMI,246494,112025,134469
HUMLA,55394,27886,27508
ILAM,279534,139431,140103
JAJARKOT,189360,94063,95297
JHAPA,998054,478509,519545
JUMLA,118349,59228,59121
KAILALI,904666,433456,471210
KALIKOT,145292,72245,73047
KANCHANPUR,513757,240686,273071
KAPILBASTU,682961,334687,348274
KASKI,600051,292791,307260
KATHMANDU,2041587,1035726,1005861
KABHREPALANCHOK,364039,178909,185130
KHOTANG,175298,86637,88661
LALITPUR,551667,277131,274536
LAMJUNG,155852,74077,81775
MAHOTTARI,706994,349159,357835
MAKAWANPUR,466073,233816,232257
MANANG,5658,3192,2466
MORANG,1148156,557512,590644
MUGU,64549,32381,32168
MUSTANG,14452,7934,6518
MYAGDI,107033,52153,54880
NAWALPARASI_E,378079,177887,200192
NAWALPARASI_W,386868,188182,198686
NUWAKOT,263391,128998,134393
OKHALDHUNGA,139552,68080,71472
PALPA,245027,112761,132266
PANCHTHAR,172400,85683,86717
PARBAT,130887,61678,69209
PARSA,654471,338286,316185
PYUTHAN,232019,104132,127887
RAMECHHAP,170302,80824,89478
RASUWA,46689,24035,22654
RAUTAHAT,813573,408403,405170
ROLPA,234793,109871,124922
RUKUM_E,56786,27516,29270
RUKUM_W,166740,81091,85649
RUPANDEHI,1121957,550478,571479
SALYAN,238515,114982,123533
SANKHUWASABHA,158041,79579,78462
SAPTARI,706255,351368,354887
SARLAHI,862470,435131,427339
SINDHULI,300026,147065,152961
SINDHUPALCHOK,262624,129205,133419
SIRAHA,739953,363724,376229
SOLUKHUMBU,104851,52747,52104
SUNSARI,926962,449023,477939
SURKHET,415126,199740,215386
SYANGJA,253024,116678,136346
TANAHU,321153,150094,171059
TAPLEJUNG,120590,60773,59817
TERHATHUM,88731,43581,45150
UDAYAPUR,340721,163738,176983
